"modele","prix","puissance","consommation"
"Daihatsu Cuore","11600","32","5.7"
"Suzuki Swift 1.0 GLS","12490","39","5.8"
"Fiat Panda Mambo L","10450","29","6.1"
"VW Polo 1.4 60","17140","44","6.5"
"Opel Corsa 1.2i Eco","14825","33","6.8"
"Subaru Vivio 4WD","13730","32","6.8"
"Toyota Corolla","19490","55","7.1"
"Ferrari 456 GT","285000","325","21.3"
"Mercedes S 600","183900","300","18.7"
"Maserati Ghibli GT","92500","209","14.5"
"Opel Astra 1.6i 16V","25000","74","7.4"
"Peugeot 306 XS 108","22350","74","9"
"Renault Safrane 2.2. V","36600","101","11.7"
"Seat Ibiza 2.0 GTI","22500","85","9.5"
"VW Golt 2.0 GTI","31580","85","9.5"
"Citroen ZX Volcane","28750","89","8.8"
"Fiat Tempra 1.6 Liberty","22600","65","9.3"
"Fort Escort 1.4i PT","20300","54","8.6"
"Honda Civic Joker 1.4","19900","66","7.7"
"Volvo 850 2.5","39800","106","10.8"
"Ford Fiesta 1.2 Zetec","19740","55","6.6"
"Hyundai Sonata 3000","38990","107","11.7"
"Lancia K 3.0 LS","50800","150","11.9"
"Mazda Hachtback V","36200","122","10.8"
"Mitsubishi Galant","31990","66","7.6"
"Opel Omega 2.5i V6","47700","125","11.3"
"Peugeot 806 2.0","36950","89","10.8"
"Nissan Primera 2.0","26950","92","9.2"
"Seat Alhambra 2.0","36400","85","11.6"
"Toyota Previa salon","50900","97","12.8"
"Volvo 960 Kombi aut","49300","125","12.7"
